,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Chad Williams,ARI,5,1,20.00%,7,0,11.4%,2,0,0.00%,0,0,8.7%,All Chad Williams red zone receiving plays,WillCh05
Jeff Wilson,SFO,5,4,80.00%,18,0,7.2%,2,1,50.00%,6,0,6.9%,All Jeff Wilson red zone receiving plays,WilsJe01
Jarius Wright,CAR,5,3,60.00%,10,1,7.9%,2,1,50.00%,5,1,6.3%,All Jarius Wright red zone receiving plays,WrigJa02
Peyton Barber,TAM,4,2,50.00%,12,1,5.0%,1,1,100.00%,5,1,2.9%,All Peyton Barber red zone receiving plays,BarbPe01
Alfred Blue,HOU,4,2,50.00%,8,0,5.9%,2,1,50.00%,5,0,5.1%,All Alfred Blue red zone receiving plays,BlueAl00
Matt Breida,SFO,4,4,100.00%,37,2,5.8%,1,1,100.00%,5,1,3.4%,All Matt Breida red zone receiving plays,BreiMa00
Nick Chubb,CLE,4,3,75.00%,34,2,7.4%,1,1,100.00%,7,0,4.3%,All Nick Chubb red zone receiving plays,ChubNi00
Randall Cobb,GNB,4,1,25.00%,3,0,7.0%,0,0,,0,0,.0%,All Randall Cobb red zone receiving plays,CobbRa00
Alex Collins,BAL,4,2,50.00%,9,1,6.5%,2,1,50.00%,3,1,6.5%,All Alex Collins red zone receiving plays,CollAl00
Jamison Crowder,WAS,4,4,100.00%,38,1,10.8%,1,1,100.00%,9,1,5.3%,All Jamison Crowder red zone receiving plays,CrowJa00
Bruce Ellington,2TM,4,4,100.00%,19,1,,2,2,100.00%,2,1,,All Bruce Ellington red zone receiving plays,ElliBr00
Rhett Ellison,NYG,4,3,75.00%,27,1,5.2%,1,1,100.00%,7,0,2.9%,All Rhett Ellison red zone receiving plays,ElliRh00
Robert Foster,BUF,4,3,75.00%,11,1,10.8%,1,1,100.00%,5,1,9.1%,All Robert Foster red zone receiving plays,FostRo01
Bennie Fowler,NYG,4,2,50.00%,19,1,5.2%,3,1,33.33%,6,1,8.8%,All Bennie Fowler red zone receiving plays,FowlBe00
Will Fuller,HOU,4,3,75.00%,13,2,5.9%,3,2,66.67%,9,2,7.7%,All Will Fuller red zone receiving plays,FullWi01
Ted Ginn,NOR,4,1,25.00%,4,1,4.4%,1,1,100.00%,4,1,2.3%,All Ted Ginn red zone receiving plays,GinnTe00
Marquise Goodwin,SFO,4,1,25.00%,11,1,5.8%,1,0,0.00%,0,0,3.4%,All Marquise Goodwin red zone receiving plays,GoodMa00
Ryan Grant,IND,4,3,75.00%,16,1,4.5%,1,1,100.00%,5,1,2.3%,All Ryan Grant red zone receiving plays,GranRy01
Demetrius Harris,KAN,4,3,75.00%,43,3,4.3%,0,0,,0,0,.0%,All Demetrius Harris red zone receiving plays,HarrDe03
Rashard Higgins,CLE,4,4,100.00%,55,3,7.4%,0,0,,0,0,.0%,All Rashard Higgins red zone receiving plays,HiggRa00
Jordan Howard,CHI,4,2,50.00%,5,0,5.8%,2,1,50.00%,4,0,5.4%,All Jordan Howard red zone receiving plays,HowaJo00
DeSean Jackson,TAM,4,0,0.00%,0,0,5.0%,1,0,0.00%,0,0,2.9%,All DeSean Jackson red zone receiving plays,JackDe00
Christian Kirk,ARI,4,3,75.00%,24,1,9.1%,2,1,50.00%,9,1,8.7%,All Christian Kirk red zone receiving plays,KirkCh01
Matt LaCosse,DEN,4,1,25.00%,10,1,6.8%,4,1,25.00%,10,1,11.8%,All Matt LaCosse red zone receiving plays,LaCoMa00
Jordan Matthews,PHI,4,2,50.00%,10,1,5.1%,2,1,50.00%,4,1,5.4%,All Jordan Matthews red zone receiving plays,MattJo00
Terrelle Pryor,2TM,4,2,50.00%,24,1,,2,1,50.00%,7,1,,All Terrelle Pryor red zone receiving plays,PryoTe00
Andre Roberts,NYJ,4,3,75.00%,26,1,8.0%,0,0,,0,0,.0%,All Andre Roberts red zone receiving plays,RobeAn00
Aldrick Robinson,MIN,4,3,75.00%,46,3,6.1%,0,0,,0,0,.0%,All Aldrick Robinson red zone receiving plays,RobiAl00
