,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,,-additional
Corey Clement,DAL,4,4,100.00%,17,1,4.0%,1,1,100.00%,8,1,2.8%,All Corey Clement red zone receiving plays,ClemCo00
Corey Davis,NYJ,4,3,75.00%,14,2,6.6%,2,2,100.00%,11,2,8.7%,All Corey Davis red zone receiving plays,DaviCo03
Clyde Edwards-Helaire,KAN,4,2,50.00%,11,2,3.4%,3,2,66.67%,11,2,5.0%,All Clyde Edwards-Helaire red zone receiving plays,EdwaCl00
Evan Engram,NYG,4,2,50.00%,14,2,7.1%,4,2,50.00%,14,2,14.3%,All Evan Engram red zone receiving plays,EngrEv00
Chris Evans,CIN,4,3,75.00%,27,1,5.3%,1,1,100.00%,4,1,2.8%,All Chris Evans red zone receiving plays,EvanCh02
Kylen Granson,IND,4,3,75.00%,14,0,6.3%,3,3,100.00%,14,0,8.3%,All Kylen Granson red zone receiving plays,GranKy00
T.Y. Hilton,IND,4,3,75.00%,15,2,6.3%,2,2,100.00%,5,2,5.6%,All T.Y. Hilton red zone receiving plays,HiltT.00
Nyheim Hines,IND,4,4,100.00%,28,1,6.3%,1,1,100.00%,8,1,2.8%,All Nyheim Hines red zone receiving plays,HineNy00
Jacob Hollister,JAX,4,3,75.00%,14,1,7.5%,2,2,100.00%,8,1,6.9%,All Jacob Hollister red zone receiving plays,HollJa03
Adam Humphries,WAS,4,1,25.00%,6,0,7.7%,2,0,0.00%,0,0,8.7%,All Adam Humphries red zone receiving plays,HumpAd00
Kareem Hunt,CLE,4,2,50.00%,10,0,7.1%,1,0,0.00%,0,0,3.6%,All Kareem Hunt red zone receiving plays,HuntKa00
Ty Johnson,NYJ,4,3,75.00%,37,1,6.6%,0,0,,0,0,.0%,All Ty Johnson red zone receiving plays,JohnTy02
Brevin Jordan,HOU,4,4,100.00%,31,3,8.5%,2,2,100.00%,14,2,8.3%,All Brevin Jordan red zone receiving plays,JordBr00
Isaiah McKenzie,BUF,4,4,100.00%,21,1,3.3%,2,2,100.00%,9,1,3.8%,All Isaiah McKenzie red zone receiving plays,McKeIs00
Zack Moss,BUF,4,2,50.00%,9,1,3.3%,3,1,33.33%,7,1,5.7%,All Zack Moss red zone receiving plays,MossZa00
Allen Robinson,CHI,4,3,75.00%,16,1,7.0%,1,0,0.00%,0,0,3.8%,All Allen Robinson red zone receiving plays,RobiAl02
Adam Shaheen,MIA,4,2,50.00%,13,0,5.4%,2,0,0.00%,0,0,5.3%,All Adam Shaheen red zone receiving plays,ShahAd00
Tajae Sharpe,ATL,4,0,0.00%,0,0,5.1%,2,0,0.00%,0,0,5.7%,All Tajae Sharpe red zone receiving plays,SharTa00
Trent Sherfield,SFO,4,1,25.00%,5,1,6.7%,3,1,33.33%,5,1,10.0%,All Trent Sherfield red zone receiving plays,SherTr00
Cam Sims,WAS,4,3,75.00%,12,1,7.7%,2,1,50.00%,6,1,8.7%,All Cam Sims red zone receiving plays,SimsCa00
Equanimeous St. Brown,GNB,4,2,50.00%,12,0,3.4%,1,1,100.00%,5,0,2.0%,All Equanimeous St. Brown red zone receiving plays,St.BEq00
Freddie Swain,SEA,4,1,25.00%,13,1,7.7%,1,0,0.00%,0,0,5.3%,All Freddie Swain red zone receiving plays,SwaiFr00
Robert Tonyan,GNB,4,3,75.00%,12,0,3.4%,2,2,100.00%,7,0,3.9%,All Robert Tonyan red zone receiving plays,TonyRo00
Tommy Tremble,CAR,4,4,100.00%,10,1,8.0%,4,4,100.00%,10,1,15.4%,All Tommy Tremble red zone receiving plays,TremTo00
Sammy Watkins,BAL,4,3,75.00%,16,1,5.5%,1,1,100.00%,6,1,2.9%,All Sammy Watkins red zone receiving plays,WatkSa00
Preston Williams,MIA,4,0,0.00%,0,0,5.4%,3,0,0.00%,0,0,7.9%,All Preston Williams red zone receiving plays,WillPr01
Jamal Agnew,JAX,3,2,66.67%,17,1,5.7%,2,1,50.00%,9,1,6.9%,All Jamal Agnew red zone receiving plays,AgneJa00
Salvon Ahmed,MIA,3,1,33.33%,9,0,4.1%,0,0,,0,0,.0%,All Salvon Ahmed red zone receiving plays,AhmeSa01
Danny Amendola,HOU,3,2,66.67%,15,2,6.4%,2,2,100.00%,15,2,8.3%,All Danny Amendola red zone receiving plays,AmenDa00
Saquon Barkley,NYG,3,1,33.33%,18,1,5.4%,1,0,0.00%,0,0,3.6%,All Saquon Barkley red zone receiving plays,BarkSa00
Kendall Blanton,LAR,3,2,66.67%,9,1,2.3%,1,1,100.00%,7,1,1.6%,All Kendall Blanton red zone receiving plays,BlanKe01
Matt Breida,BUF,3,3,100.00%,24,1,2.5%,0,0,,0,0,.0%,All Matt Breida red zone receiving plays,BreiMa00
Antonio Brown,TAM,3,2,66.67%,7,1,2.3%,1,1,100.00%,4,1,1.6%,All Antonio Brown red zone receiving plays,BrowAn04
Dyami Brown,WAS,3,2,66.67%,13,0,5.8%,0,0,,0,0,.0%,All Dyami Brown red zone receiving plays,BrowDy00
Rex Burkhead,HOU,3,2,66.67%,10,0,6.4%,2,1,50.00%,0,0,8.3%,All Rex Burkhead red zone receiving plays,BurkRe00
Quintez Cephus,DET,3,3,100.00%,16,2,5.0%,2,2,100.00%,7,2,8.0%,All Quintez Cephus red zone receiving plays,CephQu00
Pharoh Cooper,NYG,3,0,0.00%,0,0,5.4%,2,0,0.00%,0,0,7.1%,All Pharoh Cooper red zone receiving plays,CoopPh00
Will Dissly,SEA,3,2,66.67%,3,1,5.8%,1,1,100.00%,1,1,5.3%,All Will Dissly red zone receiving plays,DissWi00
Eric Ebron,PIT,3,1,33.33%,5,1,3.1%,2,1,50.00%,5,1,4.5%,All Eric Ebron red zone receiving plays,EbroEr00
Isaiah Ford,MIA,3,2,66.67%,12,2,4.1%,2,2,100.00%,12,2,5.3%,All Isaiah Ford red zone receiving plays,FordIs00
Marquise Goodwin,CHI,3,1,33.33%,9,0,5.3%,2,0,0.00%,0,0,7.7%,All Marquise Goodwin red zone receiving plays,GoodMa00
Josh Gordon,KAN,3,1,33.33%,1,1,2.6%,2,1,50.00%,1,1,3.3%,All Josh Gordon red zone receiving plays,GordJo02
Travis Homer,SEA,3,2,66.67%,9,0,5.8%,1,1,100.00%,3,0,5.3%,All Travis Homer red zone receiving plays,HomeTr00
Jesper Horsted,CHI,3,2,66.67%,21,2,5.3%,2,1,50.00%,2,1,7.7%,All Jesper Horsted red zone receiving plays,HorsJe00
O.J. Howard,TAM,3,2,66.67%,5,1,2.3%,2,1,50.00%,2,1,3.2%,All O.J. Howard red zone receiving plays,HowaO.00
Chuba Hubbard,CAR,3,1,33.33%,2,1,6.0%,2,1,50.00%,2,1,7.7%,All Chuba Hubbard red zone receiving plays,HubbCh01
Justin Jackson,LAC,3,3,100.00%,10,0,3.1%,1,1,100.00%,0,0,2.0%,All Justin Jackson red zone receiving plays,JackJu01
Jerry Jeudy,DEN,3,2,66.67%,12,0,5.2%,1,0,0.00%,0,0,3.1%,All Jerry Jeudy red zone receiving plays,JeudJe00
Marcus Johnson,TEN,3,1,33.33%,10,0,3.8%,0,0,,0,0,.0%,All Marcus Johnson red zone receiving plays,JohnMa07
Terrace Marshall,CAR,3,2,66.67%,12,0,6.0%,2,1,50.00%,5,0,7.7%,All Terrace Marshall red zone receiving plays,MarsTe00
J.D. McKissic,WAS,3,3,100.00%,13,1,5.8%,2,2,100.00%,10,1,8.7%,All J.D. McKissic red zone receiving plays,McKiJ.00
Sony Michel,LAR,3,2,66.67%,-1,1,2.3%,1,1,100.00%,3,1,1.6%,All Sony Michel red zone receiving plays,MichSo00
Latavius Murray,BAL,3,1,33.33%,3,0,4.1%,1,0,0.00%,0,0,2.9%,All Latavius Murray red zone receiving plays,MurrLa00
Dare Ogunbowale,JAX,3,0,0.00%,0,0,5.7%,2,0,0.00%,0,0,6.9%,All Dare Ogunbowale red zone receiving plays,OgunDa00
Donovan Peoples-Jones,CLE,3,1,33.33%,11,1,5.4%,2,0,0.00%,0,0,7.1%,All Donovan Peoples-Jones red zone receiving plays,PeopDo00
Breshad Perriman,TAM,3,2,66.67%,5,0,2.3%,1,0,0.00%,0,0,1.6%,All Breshad Perriman red zone receiving plays,PerrBr02
Jalen Richard,LVR,3,1,33.33%,5,0,3.4%,1,0,0.00%,0,0,2.5%,All Jalen Richard red zone receiving plays,RichJa01
Demarcus Robinson,KAN,3,2,66.67%,11,0,2.6%,1,1,100.00%,2,0,1.7%,All Demarcus Robinson red zone receiving plays,RobiDe01
Miles Sanders,PHI,3,3,100.00%,9,0,5.0%,0,0,,0,0,.0%,All Miles Sanders red zone receiving plays,SandMi01
Mohamed Sanu,SFO,3,3,100.00%,21,0,5.0%,0,0,,0,0,.0%,All Mohamed Sanu red zone receiving plays,SanuMo00
Rhamondre Stevenson,NWE,3,2,66.67%,4,0,3.8%,1,0,0.00%,0,0,2.9%,All Rhamondre Stevenson red zone receiving plays,StevRh00
Ian Thomas,CAR,3,2,66.67%,0,0,6.0%,0,0,,0,0,.0%,All Ian Thomas red zone receiving plays,ThomIa00
Ty'Son Williams,BAL,3,2,66.67%,15,0,4.1%,0,0,,0,0,.0%,All Ty'Son Williams red zone receiving plays,WillTy01
Jeff Wilson,SFO,3,2,66.67%,1,0,5.0%,2,1,50.00%,3,0,6.7%,All Jeff Wilson red zone receiving plays,WilsJe01
Juwann Winfree,GNB,3,2,66.67%,6,0,2.5%,1,0,0.00%,0,0,2.0%,All Juwann Winfree red zone receiving plays,WinfJu00
Antony Auclair,HOU,2,2,100.00%,17,1,4.3%,0,0,,0,0,.0%,All Antony Auclair red zone receiving plays,AuclAn00
Tavon Austin,JAX,2,2,100.00%,12,1,3.8%,1,1,100.00%,7,1,3.4%,All Tavon Austin red zone receiving plays,AustTa00
Peyton Barber,LVR,2,2,100.00%,14,0,2.3%,0,0,,0,0,.0%,All Peyton Barber red zone receiving plays,BarbPe01
John Bates,WAS,2,1,50.00%,13,1,3.8%,0,0,,0,0,.0%,All John Bates red zone receiving plays,BateJo00
Cameron Batson,TEN,2,1,50.00%,2,1,2.5%,2,1,50.00%,2,1,5.7%,All Cameron Batson red zone receiving plays,BatsCa00
Blake Bell,KAN,2,2,100.00%,10,0,1.7%,0,0,,0,0,.0%,All Blake Bell red zone receiving plays,BellBl00
Devontae Booker,NYG,2,2,100.00%,10,1,3.6%,2,2,100.00%,10,1,7.1%,All Devontae Booker red zone receiving plays,BookDe00
Noah Brown,DAL,2,2,100.00%,14,0,2.0%,0,0,,0,0,.0%,All Noah Brown red zone receiving plays,BrowNo00
DeAndre Carter,WAS,2,1,50.00%,4,1,3.8%,1,1,100.00%,4,1,4.3%,All DeAndre Carter red zone receiving plays,CartDe02
Michael Carter,NYJ,2,2,100.00%,6,0,3.3%,1,1,100.00%,2,0,4.3%,All Michael Carter red zone receiving plays,CartMi03
James Conner,ARI,2,2,100.00%,18,0,2.5%,1,1,100.00%,5,0,2.6%,All James Conner red zone receiving plays,ConnJa00
Tyler Davis,GNB,2,1,50.00%,0,0,1.7%,0,0,,0,0,.0%,All Tyler Davis red zone receiving plays,DaviTy02
Ashton Dulin,IND,2,1,50.00%,2,1,3.2%,2,1,50.00%,2,1,5.6%,All Ashton Dulin red zone receiving plays,DuliAs00
D'Wayne Eskridge,SEA,2,1,50.00%,7,1,3.8%,1,1,100.00%,7,1,5.3%,All D'Wayne Eskridge red zone receiving plays,EskrDW00
Dez Fitzpatrick,TEN,2,2,100.00%,18,1,2.5%,1,1,100.00%,0,0,2.9%,All Dez Fitzpatrick red zone receiving plays,FitzDe00
D'Onta Foreman,TEN,2,2,100.00%,26,0,2.5%,0,0,,0,0,.0%,All D'Onta Foreman red zone receiving plays,ForeDO00
Jody Fortson,KAN,2,2,100.00%,4,2,1.7%,2,2,100.00%,4,2,3.3%,All Jody Fortson red zone receiving plays,FortJo01
Derrick Gore,KAN,2,1,50.00%,3,0,1.7%,0,0,,0,0,.0%,All Derrick Gore red zone receiving plays,GoreDe00
Jakeem Grant,2TM,2,2,100.00%,8,1,,1,1,100.00%,8,1,,All Jakeem Grant red zone receiving plays,GranJa00
Damien Harris,NWE,2,1,50.00%,3,0,2.6%,0,0,,0,0,.0%,All Damien Harris red zone receiving plays,HarrDa06
Derrick Henry,TEN,2,2,100.00%,7,0,2.5%,0,0,,0,0,.0%,All Derrick Henry red zone receiving plays,HenrDe00
Khalil Herbert,CHI,2,2,100.00%,-4,0,3.5%,1,1,100.00%,2,0,3.8%,All Khalil Herbert red zone receiving plays,HerbKh00
Kendall Hinton,DEN,2,1,50.00%,2,1,3.4%,2,1,50.00%,2,1,6.3%,All Kendall Hinton red zone receiving plays,HintKe00
Chris Hogan,NOR,2,2,100.00%,19,1,3.2%,1,1,100.00%,10,1,3.8%,All Chris Hogan red zone receiving plays,HogaCh00
Cody Hollister,TEN,2,1,50.00%,8,0,2.5%,1,0,0.00%,0,0,2.9%,All Cody Hollister red zone receiving plays,HollCo00
Alec Ingold,LVR,2,1,50.00%,1,1,2.3%,1,1,100.00%,1,1,2.5%,All Alec Ingold red zone receiving plays,IngoAl01
Jesse James,CHI,2,1,50.00%,8,1,3.5%,2,1,50.00%,8,1,7.7%,All Jesse James red zone receiving plays,JameJe00
Tyler Kroft,NYJ,2,2,100.00%,18,1,3.3%,1,1,100.00%,5,0,4.3%,All Tyler Kroft red zone receiving plays,KrofTy00
Jake Kumerow,BUF,2,0,0.00%,0,0,1.7%,0,0,,0,0,.0%,All Jake Kumerow red zone receiving plays,KumeJa00
Christian McCaffrey,CAR,2,2,100.00%,24,0,4.0%,0,0,,0,0,.0%,All Christian McCaffrey red zone receiving plays,McCaCh01
Denzel Mims,NYJ,2,0,0.00%,0,0,3.3%,2,0,0.00%,0,0,8.7%,All Denzel Mims red zone receiving plays,MimsDe00
Ty Montgomery,NOR,2,2,100.00%,8,0,3.2%,2,2,100.00%,8,0,7.7%,All Ty Montgomery red zone receiving plays,MontTy01
Chris Moore,HOU,2,2,100.00%,15,0,4.3%,0,0,,0,0,.0%,All Chris Moore red zone receiving plays,MoorCh00
Josh Oliver,BAL,2,1,50.00%,9,0,2.7%,0,0,,0,0,.0%,All Josh Oliver red zone receiving plays,OlivJo00
Qadree Ollison,ATL,2,1,50.00%,4,0,2.6%,2,1,50.00%,4,0,5.7%,All Qadree Ollison red zone receiving plays,OlliQa00
Colby Parkinson,SEA,2,1,50.00%,12,0,3.8%,0,0,,0,0,.0%,All Colby Parkinson red zone receiving plays,ParkCo02
Elijhaa Penny,NYG,2,2,100.00%,4,1,3.6%,1,1,100.00%,3,1,3.6%,All Elijhaa Penny red zone receiving plays,PennEl00
Dante Pettis,NYG,2,1,50.00%,5,1,3.6%,1,1,100.00%,5,1,3.6%,All Dante Pettis red zone receiving plays,PettDa00
Patrick Ricard,BAL,2,1,50.00%,1,1,2.7%,2,1,50.00%,1,1,5.9%,All Patrick Ricard red zone receiving plays,RicaPa00
James Robinson,JAX,2,2,100.00%,5,0,3.8%,1,1,100.00%,-2,0,3.4%,All James Robinson red zone receiving plays,RobiJa00
Amari Rodgers,GNB,2,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,2.0%,All Amari Rodgers red zone receiving plays,RodgAm00
Anthony Schwartz,CLE,2,1,50.00%,5,1,3.6%,1,1,100.00%,5,1,3.6%,All Anthony Schwartz red zone receiving plays,SchwAn00
Ben Skowronek,LAR,2,0,0.00%,0,0,1.5%,2,0,0.00%,0,0,3.2%,All Ben Skowronek red zone receiving plays,SkowBe00
Darius Slayton,NYG,2,0,0.00%,0,0,3.6%,0,0,,0,0,.0%,All Darius Slayton red zone receiving plays,SlayDa01
Lee Smith,ATL,2,1,50.00%,1,1,2.6%,2,1,50.00%,1,1,5.7%,All Lee Smith red zone receiving plays,SmitLe00
Willie Snead,LVR,2,1,50.00%,3,0,2.3%,2,1,50.00%,3,0,5.0%,All Willie Snead red zone receiving plays,SneaWi00
Jeremy Sprinkle,DAL,2,2,100.00%,20,0,2.0%,0,0,,0,0,.0%,All Jeremy Sprinkle red zone receiving plays,SpriJe00
Kenny Stills,NOR,2,1,50.00%,8,1,3.2%,1,1,100.00%,8,1,3.8%,All Kenny Stills red zone receiving plays,StilKe00
Jack Stoll,PHI,2,2,100.00%,13,0,3.3%,1,1,100.00%,4,0,3.7%,All Jack Stoll red zone receiving plays,StolJa00
Jonathan Taylor,IND,2,2,100.00%,13,0,3.2%,1,1,100.00%,7,0,2.8%,All Jonathan Taylor red zone receiving plays,TaylJo02
Malik Taylor,GNB,2,2,100.00%,14,0,1.7%,0,0,,0,0,.0%,All Malik Taylor red zone receiving plays,TaylMa01
Nick Vannett,NOR,2,1,50.00%,11,1,3.2%,0,0,,0,0,.0%,All Nick Vannett red zone receiving plays,VannNi00
Albert Wilson,MIA,2,1,50.00%,1,0,2.7%,0,0,,0,0,.0%,All Albert Wilson red zone receiving plays,WilsAl02
Brandon Zylstra,CAR,2,1,50.00%,8,0,4.0%,0,0,,0,0,.0%,All Brandon Zylstra red zone receiving plays,ZylsBr00
Shane Zylstra,DET,2,0,0.00%,0,0,3.3%,1,0,0.00%,0,0,4.0%,All Shane Zylstra red zone receiving plays,ZylsSh00
Cam Akers,LAR,1,1,100.00%,2,0,.8%,0,0,,0,0,.0%,All Cam Akers red zone receiving plays,AkerCa00
Nick Allegretti,KAN,1,1,100.00%,1,1,.9%,1,1,100.00%,1,1,1.7%,All Nick Allegretti red zone receiving plays,AlleNi00
Geronimo Allison,DET,1,0,0.00%,0,0,1.7%,0,0,,0,0,.0%,All Geronimo Allison red zone receiving plays,AlliGe01
Stephen Anderson,LAC,1,1,100.00%,2,1,1.0%,1,1,100.00%,2,1,2.0%,All Stephen Anderson red zone receiving plays,AndeSt01
Alex Armah,NOR,1,1,100.00%,1,1,1.6%,1,1,100.00%,1,1,3.8%,All Alex Armah red zone receiving plays,ArmaAl00
Kalen Ballage,PIT,1,0,0.00%,0,0,1.0%,1,0,0.00%,0,0,2.3%,All Kalen Ballage red zone receiving plays,BallKa00
Le'Veon Bell,TAM,1,1,100.00%,1,1,.8%,1,1,100.00%,1,1,1.6%,All Le'Veon Bell red zone receiving plays,BellLe00
Eno Benjamin,ARI,1,1,100.00%,10,0,1.3%,0,0,,0,0,.0%,All Eno Benjamin red zone receiving plays,BenjEn00
Trinity Benson,DET,1,0,0.00%,0,0,1.7%,0,0,,0,0,.0%,All Trinity Benson red zone receiving plays,BensTr00
Christian Blake,ATL,1,0,0.00%,0,0,1.3%,1,0,0.00%,0,0,2.9%,All Christian Blake red zone receiving plays,BlakCh00
C.J. Board,NYG,1,1,100.00%,6,0,1.8%,1,1,100.00%,6,0,3.6%,All C.J. Board red zone receiving plays,BoarC.00
Reggie Bonnafon,CAR,1,1,100.00%,6,0,2.0%,0,0,,0,0,.0%,All Reggie Bonnafon red zone receiving plays,BonnRe00
Nick Boyle,BAL,1,1,100.00%,2,0,1.4%,1,1,100.00%,2,0,2.9%,All Nick Boyle red zone receiving plays,BoylNi00
Malcolm Brown,MIA,1,1,100.00%,4,0,1.4%,0,0,,0,0,.0%,All Malcolm Brown red zone receiving plays,BrowMa03
Michael Burton,KAN,1,1,100.00%,0,0,.9%,1,1,100.00%,0,0,1.7%,All Michael Burton red zone receiving plays,BurtMi00
Jason Cabinda,DET,1,1,100.00%,6,1,1.7%,1,1,100.00%,6,1,4.0%,All Jason Cabinda red zone receiving plays,CabiJa00
DJ Chark,JAX,1,1,100.00%,12,1,1.9%,0,0,,0,0,.0%,All DJ Chark red zone receiving plays,CharDJ00
Nick Chubb,CLE,1,1,100.00%,5,1,1.8%,1,1,100.00%,5,1,3.6%,All Nick Chubb red zone receiving plays,ChubNi00
Chris Conley,HOU,1,1,100.00%,6,0,2.1%,0,0,,0,0,.0%,All Chris Conley red zone receiving plays,ConlCh00
Dalvin Cook,MIN,1,1,100.00%,4,0,1.4%,0,0,,0,0,.0%,All Dalvin Cook red zone receiving plays,CookDa01
DeeJay Dallas,SEA,1,1,100.00%,2,0,1.9%,0,0,,0,0,.0%,All DeeJay Dallas red zone receiving plays,DallDe00
Darrell Daniels,ARI,1,0,0.00%,0,0,1.3%,0,0,,0,0,.0%,All Darrell Daniels red zone receiving plays,DaniDa02
Dion Dawkins,BUF,1,0,0.00%,0,0,.8%,1,0,0.00%,0,0,1.9%,All Dion Dawkins red zone receiving plays,DawkDi00
Taylor Decker,DET,1,1,100.00%,6,1,1.7%,1,1,100.00%,6,1,4.0%,All Taylor Decker red zone receiving plays,DeckTa00
Phillip Dorsett,SEA,1,1,100.00%,3,0,1.9%,1,1,100.00%,3,0,5.3%,All Phillip Dorsett red zone receiving plays,DorsPh00
Greg Dortch,ARI,1,1,100.00%,10,0,1.3%,0,0,,0,0,.0%,All Greg Dortch red zone receiving plays,DortGr01
Tommy Doyle,BUF,1,1,100.00%,1,1,.8%,1,1,100.00%,1,1,1.9%,All Tommy Doyle red zone receiving plays,DoylTo00
Luke Farrell,JAX,1,1,100.00%,7,0,1.9%,0,0,,0,0,.0%,All Luke Farrell red zone receiving plays,FarrLu00
Demetric Felton,CLE,1,1,100.00%,10,1,1.8%,1,1,100.00%,10,1,3.6%,All Demetric Felton red zone receiving plays,FeltDe00
Reggie Gilliam,BUF,1,0,0.00%,0,0,.8%,0,0,,0,0,.0%,All Reggie Gilliam red zone receiving plays,GillRe00
Cyril Grayson,TAM,1,1,100.00%,12,0,.8%,0,0,,0,0,.0%,All Cyril Grayson red zone receiving plays,GrayCy01
C.J. Ham,MIN,1,1,100.00%,9,0,1.4%,0,0,,0,0,.0%,All C.J. Ham red zone receiving plays,HamxC.00
Demetrius Harris,ARI,1,0,0.00%,0,0,1.3%,1,0,0.00%,0,0,2.6%,All Demetrius Harris red zone receiving plays,HarrDe03
N'Keal Harry,NWE,1,0,0.00%,0,0,1.3%,1,0,0.00%,0,0,2.9%,All N'Keal Harry red zone receiving plays,HarrNK00
Penny Hart,SEA,1,0,0.00%,0,0,1.9%,0,0,,0,0,.0%,All Penny Hart red zone receiving plays,HartPe01
Daniel Helm,LVR,1,0,0.00%,0,0,1.1%,1,0,0.00%,0,0,2.5%,All Daniel Helm red zone receiving plays,HelmDa01
Chris Herndon,MIN,1,1,100.00%,2,1,1.4%,1,1,100.00%,2,1,3.1%,All Chris Herndon red zone receiving plays,HernCh00
Jordan Howard,PHI,1,1,100.00%,9,0,1.7%,0,0,,0,0,.0%,All Jordan Howard red zone receiving plays,HowaJo00
Tommy Hudson,TEN,1,1,100.00%,3,0,1.3%,0,0,,0,0,.0%,All Tommy Hudson red zone receiving plays,HudsTo00
Lil'Jordan Humphrey,NOR,1,1,100.00%,4,1,1.6%,1,1,100.00%,4,1,3.8%,All Lil'Jordan Humphrey red zone receiving plays,HumpLi01
Jalen Hurts,PHI,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,3.7%,All Jalen Hurts red zone receiving plays,HurtJa00
Carlos Hyde,JAX,1,1,100.00%,4,0,1.9%,0,0,,0,0,.0%,All Carlos Hyde red zone receiving plays,HydeCa00
Trenton Irwin,CIN,1,0,0.00%,0,0,1.3%,0,0,,0,0,.0%,All Trenton Irwin red zone receiving plays,IrwiTr00
DeSean Jackson,LVR,1,0,0.00%,0,0,1.1%,1,0,0.00%,0,0,2.5%,All DeSean Jackson red zone receiving plays,JackDe00
Tyree Jackson,PHI,1,1,100.00%,3,1,1.7%,1,1,100.00%,3,1,3.7%,All Tyree Jackson red zone receiving plays,JackTy01
Collin Johnson,NYG,1,0,0.00%,0,0,1.8%,1,0,0.00%,0,0,3.6%,All Collin Johnson red zone receiving plays,JohnCo01
D'Ernest Johnson,CLE,1,1,100.00%,6,0,1.8%,0,0,,0,0,.0%,All D'Ernest Johnson red zone receiving plays,JohnDE04
Jakob Johnson,NWE,1,1,100.00%,2,0,1.3%,1,1,100.00%,2,0,2.9%,All Jakob Johnson red zone receiving plays,JohnJa12
Lane Johnson,PHI,1,1,100.00%,5,1,1.7%,1,1,100.00%,5,1,3.7%,All Lane Johnson red zone receiving plays,JohnLa01
Ronald Jones,TAM,1,0,0.00%,0,0,.8%,1,0,0.00%,0,0,1.6%,All Ronald Jones red zone receiving plays,JoneRo01
Tony Jones,NOR,1,1,100.00%,3,0,1.6%,1,1,100.00%,3,0,3.8%,All Tony Jones red zone receiving plays,JoneTo04
Joshua Kelley,LAC,1,0,0.00%,0,0,1.0%,0,0,,0,0,.0%,All Joshua Kelley red zone receiving plays,KellJo01
Tom Kennedy,DET,1,1,100.00%,8,0,1.7%,0,0,,0,0,.0%,All Tom Kennedy red zone receiving plays,KennTo01
Keith Kirkwood,CAR,1,0,0.00%,0,0,2.0%,1,0,0.00%,0,0,3.8%,All Keith Kirkwood red zone receiving plays,KirkKe00
Patrick Laird,MIA,1,1,100.00%,5,0,1.4%,1,1,100.00%,5,0,2.6%,All Patrick Laird red zone receiving plays,LairPa00
Phillip Lindsay,HOU,1,0,0.00%,0,0,2.1%,1,0,0.00%,0,0,4.2%,All Phillip Lindsay red zone receiving plays,LindPh00
Drew Lock,DEN,1,1,100.00%,1,0,1.7%,1,1,100.00%,1,0,3.1%,All Drew Lock red zone receiving plays,LockDr00
Conor McDermott,NYJ,1,1,100.00%,1,1,1.6%,1,1,100.00%,1,1,4.3%,All Conor McDermott red zone receiving plays,McDeCo00
Codey McElroy,TAM,1,0,0.00%,0,0,.8%,0,0,,0,0,.0%,All Codey McElroy red zone receiving plays,McElCo00
Sean McKeon,DAL,1,1,100.00%,10,1,1.0%,1,1,100.00%,10,1,2.8%,All Sean McKeon red zone receiving plays,McKeSe01
Tre' McKitty,LAC,1,0,0.00%,0,0,1.0%,0,0,,0,0,.0%,All Tre' McKitty red zone receiving plays,McKiTr00
Racey McMath,TEN,1,0,0.00%,0,0,1.3%,0,0,,0,0,.0%,All Racey McMath red zone receiving plays,McMaRa00
Anthony Miller,HOU,1,1,100.00%,1,1,2.1%,1,1,100.00%,1,1,4.2%,All Anthony Miller red zone receiving plays,MillAn02
Dax Milne,WAS,1,0,0.00%,0,0,1.9%,0,0,,0,0,.0%,All Dax Milne red zone receiving plays,MilnDa00
Elijah Mitchell,SFO,1,1,100.00%,8,1,1.7%,1,1,100.00%,8,1,3.3%,All Elijah Mitchell red zone receiving plays,MitcEl00
D.J. Montgomery,NYJ,1,0,0.00%,0,0,1.6%,0,0,,0,0,.0%,All D.J. Montgomery red zone receiving plays,MontDJ01
Chris Myarick,NYG,1,1,100.00%,1,1,1.8%,1,1,100.00%,1,1,3.6%,All Chris Myarick red zone receiving plays,MyarCh00
Matt Nelson,DET,1,0,0.00%,0,0,1.7%,1,0,0.00%,0,0,4.0%,All Matt Nelson red zone receiving plays,NelsMa00
Kene Nwangwu,MIN,1,0,0.00%,0,0,1.4%,0,0,,0,0,.0%,All Kene Nwangwu red zone receiving plays,NwanKe00
Dezmon Patmon,IND,1,1,100.00%,14,1,1.6%,0,0,,0,0,.0%,All Dezmon Patmon red zone receiving plays,PatmDe00
Rashaad Penny,SEA,1,0,0.00%,0,0,1.9%,0,0,,0,0,.0%,All Rashaad Penny red zone receiving plays,PennRa00
Adrian Peterson,TEN,1,1,100.00%,-1,0,1.3%,1,1,100.00%,-1,0,2.9%,All Adrian Peterson red zone receiving plays,PeteAd01
Danny Pinter,IND,1,1,100.00%,2,1,1.6%,1,1,100.00%,2,1,2.8%,All Danny Pinter red zone receiving plays,PintDa00
Mike Remmers,KAN,1,1,100.00%,-2,0,.9%,1,1,100.00%,-2,0,1.7%,All Mike Remmers red zone receiving plays,RemmMi00
Giovanni Ricci,CAR,1,0,0.00%,0,0,2.0%,1,0,0.00%,0,0,3.8%,All Giovanni Ricci red zone receiving plays,RiccGi00
