Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link,-9999
Javorius Allen,BAL,6,5,83.33%,22,2,8.7%,4,3,75.00%,16,2,11.1%,All Javorius Allen red zone receiving plays,AlleJa01
C.J. Anderson,DEN,6,6,100.00%,45,1,10.3%,2,2,100.00%,8,0,8.3%,All C.J. Anderson red zone receiving plays,AndeC.00
Rex Burkhead,NWE,6,3,50.00%,34,3,7.0%,2,1,50.00%,1,1,5.4%,All Rex Burkhead red zone receiving plays,BurkRe00
Trey Burton,PHI,6,5,83.33%,49,3,8.0%,0,0,,0,0,.0%,All Trey Burton red zone receiving plays,BurtTr01
Garrett Celek,SFO,6,3,50.00%,12,3,7.1%,6,3,50.00%,12,3,16.7%,All Garrett Celek red zone receiving plays,CeleGa00
Randall Cobb,GNB,6,4,66.67%,35,2,9.4%,3,1,33.33%,2,1,10.0%,All Randall Cobb red zone receiving plays,CobbRa00
O.J. Howard,TAM,6,4,66.67%,32,3,8.8%,4,3,75.00%,15,3,13.8%,All O.J. Howard red zone receiving plays,HowaO.00
Dontrelle Inman,CHI,6,2,33.33%,13,1,12.0%,6,2,33.33%,13,1,21.4%,All Dontrelle Inman red zone receiving plays,InmaDo00
T.J. Jones,DET,6,2,33.33%,15,1,8.6%,2,1,50.00%,3,1,6.3%,All T.J. Jones red zone receiving plays,JoneT.00
Kyle Juszczyk,SFO,6,6,100.00%,42,1,7.1%,1,1,100.00%,6,1,2.8%,All Kyle Juszczyk red zone receiving plays,JuszKy00
Dion Lewis,NWE,6,6,100.00%,52,3,7.0%,1,1,100.00%,5,1,2.7%,All Dion Lewis red zone receiving plays,LewiDi00
Chris Moore,BAL,6,2,33.33%,19,2,8.7%,2,1,50.00%,6,1,5.6%,All Chris Moore red zone receiving plays,MoorCh00
James O'Shaughnessy,JAX,6,3,50.00%,29,1,12.2%,3,1,33.33%,8,0,10.3%,All James O'Shaughnessy red zone receiving plays,O'ShJa00
