"Rank","Player","Team","Bye","POS","MFL","Fantrax","RTSports","FFC","Sleeper","AVG"
"463","Johnny Manziel","","","QB69","","377","","","","377.0"
"464","Chase Daniel","LAC","","QB70","","378","","","","378.0"
"465","Mychal Rivera","","","TE57","","380","","","","380.0"
"466","A.J. Derby","","","TE58","","381","","","","381.0"
"467","Jermaine Gresham","","","TE59","","382","","","","382.0"
"468","Marcedes Lewis","GB","4","TE60","","383","","","","383.0"
"469","Blake Bell","KC","5","TE61","","384","","","","384.0"
"470","Charlie Batch","","","QB71","","385","","","","385.0"
"471","Rob Bironas","","","K37","","386","","","","386.0"
"472","Maxx Williams","ARI","9","TE62","","387","","","","387.0"
"473","Josh Hill","","","TE63","","388","","","","388.0"
"474","Ed Dickson","","","TE64","","389","","","","389.0"
""
""
