,Rank,Player,POS,AVG
392,393.0,Jakeem Grant Sr.,WR133,393.0
393,394.0,Mark Walton,RB107,395.0
394,395.0,Josh liver,TE49,396.0
395,396.0,Dontrelle Inman,WR134,397.0
396,397.0,Ryan Switzer,WR135,398.0
397,398.0,Andre Ellington,RB108,399.0
398,399.0,Tyler Kroft,TE50,401.0
399,400.0,Jonnu Smith,TE51,402.0
400,401.0,Foster Moreau,TE52,403.0
401,402.0,Bryce Love,RB109,408.0
402,403.0,D'Onta Foreman,RB110,409.0
403,0.0,0,0,0.0
404,0.0,0,0,0.0
