,Rank,Player,POS,ESPN,AVG
334,335.0,Chicago Bears,DST27,,278.0
335,336.0,Zane Gonzalez,K23,,278.0
336,337.0,San Francisco 49ers,DST28,,279.0
337,338.0,Phil Dawson,K24,,279.0
338,339.0,Washington Commanders,DST29,,280.0
339,340.0,Indianapolis Colts,DST30,,281.0
340,341.0,Detroit Lions,DST31,,282.0
341,342.0,Josh Lambo,K25,,282.0
342,343.0,New Orleans Saints,DST32,,283.0
343,344.0,Tom Savage,QB35,,285.0
344,345.0,Nick Novak,K26,,286.0
345,346.0,Mike Glennon,QB36,,287.0
346,347.0,DeAngelo Williams,RB99,,289.0
347,348.0,Kenjon Barner,RB100,,293.0
348,349.0,Dontrelle Inman,WR116,,296.0
349,350.0,Matt Barkley,QB37,,298.0
350,351.0,Victor Cruz,WR117,,299.0
351,352.0,James Starks,RB101,,301.0
352,353.0,Roberto Aguayo,K27,,304.0
353,354.0,Michael Floyd,WR118,,306.0
354,355.0,Damien Williams,RB102,,307.0
355,356.0,Seth Roberts,WR119,,308.0
356,357.0,Brock Osweiler,QB38,,309.0
357,358.0,Adam Humphries,WR120,,311.0
358,359.0,Cody Kessler,QB39,,312.0
359,360.0,Paxton Lynch,QB40,,313.0
360,361.0,Christine Michael,RB103,,314.0
361,362.0,Sammie Coates,WR121,,316.0
362,363.0,Ryan Succop,K28,,317.0
363,364.0,Cameron Artis-Payne,RB104,,320.0
364,365.0,Kai Forbath,K29,,321.0
365,366.0,Shaun Draughn,RB105,,322.0
366,367.0,Colin Kaepernick,QB41,,323.0
367,368.0,De'Anthony Thomas,WR122,,325.0
368,369.0,Robbie Gould,K30,,326.0
369,370.0,Kenneth Dixon,RB106,,327.0
370,371.0,Dorial Green-Beckham,WR123,,329.0
371,372.0,Ryan Tannehill,QB42,,330.0
372,373.0,Rico Gathers,TE40,,332.0
373,374.0,Derrick Coleman,RB107,,333.0
374,375.0,Kyle Brindza,K31,,334.0
375,376.0,Quincy Enunwa,WR124,,335.0
376,377.0,Greg Zuerlein,K32,,336.0
377,378.0,Mack Hollins,WR125,,337.0
378,379.0,Seth DeValve,TE41,,338.0
379,380.0,Dion Sims,TE42,,339.0
380,381.0,Adam Shaheen,TE43,,340.0
381,382.0,Andrew Franks,K33,,341.0
382,383.0,Mike Tolbert,RB108,,342.0
383,384.0,Elijah McGuire,RB109,,343.0
384,385.0,Aaron Hernandez,TE44,,344.0
385,386.0,Nick Boyle,TE45,,345.0
386,387.0,Corey Clement,RB110,,346.0
387,388.0,Rod Smith,RB111,,347.0
388,389.0,Alfred Blue,RB112,,348.0
389,390.0,Benny Cunningham Jr.,RB113,,349.0
390,391.0,Andre Holmes,WR126,,350.0
391,392.0,Jakeem Grant Sr.,WR127,,351.0
392,393.0,Jake Butt,TE46,,352.0
393,394.0,Dwayne Harris,WR128,,353.0
394,395.0,Malcolm Brown,RB114,,354.0
395,396.0,Matt Moore,QB43,,356.0
396,397.0,Charone Peake,WR129,,357.0
397,398.0,Jaelen Strong,WR130,,358.0
398,399.0,David Fluellen,RB115,,359.0
399,400.0,Maxx Williams,TE47,,360.0
400,401.0,J.D. McKissic,RB116,,361.0
401,402.0,Jordan Leggett,TE48,,362.0
402,403.0,Tyler Ervin,RB117,,363.0
403,404.0,Trent Taylor,WR131,,364.0
404,405.0,Jonnu Smith,TE49,,365.0
405,406.0,Ryan Griffin,TE50,,366.0
406,407.0,Ka'imi Fairbairn,K34,,367.0
407,408.0,Michael Campanaro,WR132,,368.0
408,409.0,Albert Wilson,WR133,,369.0
409,,,,,
410,,,,,
