,,,,,Games,Games,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,-additional
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,-9999
177,Alex Armah,CAR,25,FB,16,1,6,11,1,1,6,1.0,5,0.8,0,,ArmaAl00
178,Tavon Austin,DAL,29,WR,14,0,6,47,1,2,28,4.7,19,3.2,0,,AustTa00
179,Brandin Cooks,LAR,26,WR,14,14,6,52,0,3,45,7.5,7,1.2,0,,CookBr00
180,Chase Daniel,CHI,33,QB,3,1,6,6,0,2,2,0.3,4,0.7,0,,DaniCh00
181,Sean Mannion,MIN,27,QB,3,1,6,-5,0,0,-5,-0.8,0,0.0,0,,MannSe00
182,D.J. Moore,CAR,22,WR,15,15,6,40,0,3,29,4.8,11,1.8,0,,MoorD.00
183,Sterling Shepard,NYG,26,WR,10,10,6,72,0,3,67,11.2,5,0.8,0,,ShepSt00
184,Tim Boyle,GNB,25,QB,3,0,5,-7,0,0,-7,-1.4,0,0.0,0,,BoylTi00
185,Stefon Diggs,MIN,26,WR,15,15,5,61,0,3,37,7.4,24,4.8,0,,DiggSt00
186,Alex Erickson,CIN,27,WR,16,6,5,33,0,2,20,4.0,13,2.6,0,,EricAl01
187,N'Keal Harry,NWE,22,WR,7,5,5,49,0,4,12,2.4,37,7.4,1,5.0,HarrNK00
188,Buddy Howell,HOU,23,RB,16,0,5,10,0,1,7,1.4,3,0.6,0,,HoweGr00
189,George Kittle*+,SFO,26,TE,14,14,5,22,0,1,14,2.8,8,1.6,0,,KittGe00
190,A.J. McCarron,HOU,29,QB,2,1,5,39,1,3,39,7.8,0,0.0,0,,McCaA.00
191,Matt Moore,KAN,35,QB,6,2,5,-1,0,0,-2,-0.4,1,0.2,0,,MoorMa01
192,Cam Newton,CAR,30,QB,2,2,5,-2,0,0,-2,-0.4,0,0.0,0,,NewtCa00
193,Samaje Perine,2TM,24,RB,7,0,5,16,0,1,11,2.2,5,1.0,1,5.0,PeriSa00
194,Josh Reynolds,LAR,24,WR,16,2,5,23,0,2,22,4.4,1,0.2,0,,ReynJo00
195,Keith Smith,ATL,27,FB,16,5,5,8,0,4,0,0.0,8,1.6,0,,SmitKe03
196,Dede Westbrook,JAX,26,WR,15,11,5,27,0,0,13,2.6,14,2.8,0,,WestDe00
197,Dexter Williams,GNB,22,RB,4,0,5,11,0,,6,1.2,5,1.0,0,,WillDe07
198,Albert Wilson,MIA,27,WR,13,4,5,45,0,1,35,7.0,10,2.0,1,5.0,WilsAl02
199,Kenjon Barner,ATL,30,RB,14,0,4,28,0,1,22,5.5,6,1.5,0,,BarnKe00
200,Tyler Boyd,CIN,25,WR,16,15,4,23,0,1,20,5.0,3,0.8,0,,BoydTy00
201,Parris Campbell,IND,22,WR,7,3,4,34,0,1,24,6.0,10,2.5,1,4.0,CampPa00
